country,song_title,artist,streams,rank
Indonesia,Life Goes On,BTS,"1,199,259",6
Indonesia,34+35,Ariana Grande,"1,134,416",7
Indonesia,Cuek,Rizky Febian,"1,097,087",8
Indonesia,I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack,Ardhito Pramono,"1,002,494",9
Indonesia,positions,Ariana Grande,"988,455",10
India,Waalian,Harnoor,"1,397,115",1
India,Shayad,"Pritam, Arijit Singh","1,289,244",2
India,Mirchi,"DIVINE, MC Altaf, Stylo G, Phenom","1,231,341",3
India,Titliaan,"Afsana Khan, Harrdy Sandhu, Sargun Mehta","1,209,883",4
India,positions,Ariana Grande,"1,125,222",5
India,Naach Meri Rani,"Guru Randhawa, Nikhita Gandhi, Tanishk Bagchi, Nora Fatehi","1,097,061",6
India,Aabaad Barbaad,"Pritam, Arijit Singh","1,094,806",7
India,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik, Arijit Singh","1,050,837",8
India,Liggi,Ritviz,"1,034,059",9
India,Dynamite,BTS,"984,686",10
Japan,Dynamite,BTS,"2,303,401",1
Japan,炎,LiSA,"1,999,468",2
Japan,夜に駆ける,YOASOBI,"1,856,801",3
Japan,ドライフラワー,優里,"1,850,014",4
Japan,虹,Masaki Suda,"1,492,494",5
Japan,silent,SEKAI NO OWARI,"1,388,083",6
Japan,"Stand by me, Stand by you.",HIRAIDAI,"1,380,525",7
Japan,裸の心,Aimyon,"1,370,483",8
Japan,Make you happy,NiziU,"1,340,574",9
Japan,Step and a step,NiziU,"1,271,196",10
Mexico,DÁKITI,"Bad Bunny, Jhay Cortez","7,414,725",1
Mexico,BICHOTA,KAROL G,"6,719,886",2
Mexico,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA","3,870,457",3
Mexico,Hawái,Maluma,"3,652,078",4
Mexico,Reloj,"Rauw Alejandro, Anuel AA","3,292,992",5
Mexico,Relación - Remix,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko","2,678,436",6
Mexico,Se Te Nota (with Guaynaa),Lele Pons,"2,677,503",7
Mexico,La Tóxica,Farruko,"2,650,289",8
Mexico,Dime Cómo Quieres,"Christian Nodal, Ángela Aguilar","2,597,973",9
Mexico,Hecha Pa' Mi,Boza,"2,411,603",10
Malaysia,At My Worst,Pink Sweat$,"370,372",1
Malaysia,Life Goes On,BTS,"282,917",2
Malaysia,Snowman,Sia,"258,300",3
Malaysia,34+35,Ariana Grande,"255,186",4
Malaysia,positions,Ariana Grande,"251,348",5
Malaysia,Heather,Conan Gray,"238,577",6
Malaysia,Dynamite,BTS,"235,883",7
Malaysia,Lonely (with benny blanco),Justin Bieber,"228,140",8
Malaysia,you broke me first,Tate McRae,"205,226",9
Malaysia,Sofia,Clairo,"189,182",10
Netherlands,All I Want for Christmas Is You,Mariah Carey,"1,315,342",1
Netherlands,Last Christmas,Wham!,"1,278,847",2
Netherlands,The Business,Tiësto,"1,040,305",3
Netherlands,Santa Tell Me,Ariana Grande,"1,027,482",4
Netherlands,It's Beginning to Look a Lot like Christmas,Michael Bublé,"1,016,597",5
Netherlands,It's the Most Wonderful Time of the Year,Andy Williams,"1,009,484",6
Netherlands,Driving Home for Christmas - 2019 Remaster,Chris Rea,"952,244",7
Netherlands,Rockin' Around The Christmas Tree,Brenda Lee,"915,026",8
Netherlands,Underneath the Tree,Kelly Clarkson,"866,646",9
Netherlands,Mood (feat. iann dior),24kGoldn,"854,910",10
Sweden,Du måste finnas,Newkid,"1,205,497",1
Sweden,Starkare,Newkid,"1,031,180",2
Sweden,Ge upp igen,"Miriam Bryant, Yasin","993,458",3
Sweden,Svag,Victor Leksell,"930,359",4
Sweden,Ser du månen där du är ikväll? (Tillsammans igen),Thomas Stenström,"807,460",5
Sweden,WITHOUT YOU,The Kid LAROI,"781,927",6
Sweden,Blinding Lights,The Weeknd,"690,458",7
Sweden,Mood (feat. iann dior),24kGoldn,"616,867",8
Sweden,Head & Heart (feat. MNEK),Joel Corry,"581,205",9
Sweden,Pistol Whip,Jaffar Byn,"571,642",10
Singapore,34+35,Ariana Grande,"226,231",1
Singapore,positions,Ariana Grande,"213,877",2
Singapore,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,"208,141",3
Singapore,At My Worst,Pink Sweat$,"204,992",4
Singapore,Dynamite,BTS,"200,451",5
Singapore,Snowman,Sia,"192,874",6
Singapore,Life Goes On,BTS,"178,103",7
Singapore,Afterglow,Ed Sheeran,"177,005",8
Singapore,All I Want for Christmas Is You,Mariah Carey,"159,289",9
Singapore,Santa Tell Me,Ariana Grande,"157,285",10
Thailand,ถ้าเธอรักฉันจริง,Three Man Down,"764,393",1
Thailand,แฟนใหม่หน้าคุ้น,"Maiyarap, MILLI","439,484",2
Thailand,จำเลยรัก - Defendant Of Love,"F.HERO, Txrbo","438,047",3
Thailand,"โคตรพิเศษ - From"" แปลรักฉันด้วยใจเธอ""",Billkin,"389,713",4
Thailand,คิด(แต่ไม่)ถึง (Same Page?),Tilly Birds,"380,434",5
Thailand,พี่ไม่หล่อลวง - เพลงประกอบภาพยนตร์ อ้าย..คนหล่อลวง,BamBam (GOT7),"373,484",6
Thailand,อยากเริ่มต้นใหม่กับคนเดิม (repeat),Ink Waruntorn,"364,854",7
Thailand,Melbourne,"Morvasu, TangBadVoice","360,630",8
Thailand,ช่วยไม่ได้,UrboyTJ,"356,361",9
Thailand,"แปลไม่ออก - From ""I told sunset about you""",Billkin,"352,000",10
Taiwan,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,"481,877",1
Taiwan,"想見你想見你想見你(電視劇""想見你""片尾曲)",831,"337,145",2
Taiwan,飞鸟和蝉,Ren Ran,"308,234",3
Taiwan,Without You,高爾宣 OSN,"259,942",4
Taiwan,Afterglow,Ed Sheeran,"248,837",5
Taiwan,怎麼了,Eric Chou,"241,746",6
Taiwan,因為你 所以我,Mayday,"230,323",7
Taiwan,她沒在看我,E.SO,"226,701",8
Taiwan,炎,LiSA,"221,108",9
Taiwan,Dynamite,BTS,"212,180",10
Vietnam,Chúng Ta Của Hiện Tại,Sơn Tùng M-TP,"931,581",1
Vietnam,Bước Qua Mùa Cô Đơn,Vũ.,"331,510",2
Vietnam,Đi Về Nhà,"Đen, JustaTee","329,021",3
Vietnam,Trên Tình Bạn Dưới Tình Yêu,MIN,"232,775",4
Vietnam,Nàng Thơ,Hoang Dung,"222,643",5
Vietnam,từ thích thích thành thương thương,"AMEE, Hoang Dung","201,569",6
Vietnam,Gác Lại Âu Lo,"Da LAB, Miu Lê","197,667",7
Vietnam,BLACKJACK,"Soobin Hoang Son, Binz","194,957",8
Vietnam,CÓ CHẮC YÊU LÀ ĐÂY,Sơn Tùng M-TP,"174,189",9
Vietnam,Dân Chơi Xóm (feat. RPT MCK & JustaTee),RAP VIỆT,"173,443",10
